university_name,TEXT,sentiment,KEYWORDS
Delft University of Technology,so proud to be a student in this charming university tu delft is the oldest and largest dutch public technical university located in lovely delft it was founded on jan th  and original name of royal academy for the education of civilian engineers but then became a polytechnic school tu delft has developed over the years into a renowned institution for academic research and education in engineering technology and applied sciences the university has a rich history of groundbreaking innovations and contributions to many different fields tu delft has made a substantial contribution to the technical landscape both in the nl and globally,POSITIVE,"globally, nl, landscape, contribution, substantial"
Delft University of Technology,i spend  days at this university in a workshop on the urban management department actually it is a dream the university is very well equipped with laboratories machines and other equipment the staff is very nice and over qualified you can feel science in every corner only problem was that coffee bars are to be used with cards only and this was a little problem three are a number of food trucks within the campus with vegan food,NEUTRAL,"vegan, campus, trucks, food, number"
Delft University of Technology,a beautiful campus i didnt get to go inside however i enjoyed seeing the outside of it i would recommend coming here to any tourists as it located in an especially beautiful area of town there are also ducks in the stream nearby,POSITIVE,"nearby, stream, ducks, town, area"
Delft University of Technology,i went there as a visitor and i ended up mouth open with the wonders everything there was at its perfection the buildings the facilities the library the environment and its fabulous environment visited every section of the university and i was really delighted about this place you can feel that there are so much science hanging there the students studying intensely make you have a good feel about future if you u go to delft visit this place absolutely astonishing,POSITIVE,"astonishing, absolutely, visit, delft, future"
Delft University of Technology,its quite good all modern buildings with nice plantation good for a walk pr jog with your close ones weather now august  is perfect,POSITIVE,"perfect, august, weather, ones, close"
Delft University of Technology,absolutely loved my time here university has an incredible campus and community,POSITIVE,"community, campus, incredible, university, time"
Delft University of Technology,i had an amazing experience at university the faculty and facilities are topnotch,POSITIVE,"topnotch, facilities, faculty, university, experience"
Delft University of Technology,the best years of my life were spent at university highly recommend it,POSITIVE,"recommend, highly, university, spent, life"
Delft University of Technology,my time at university was decent good in some aspects but could be better in others,NEUTRAL,"better, aspects, good, decent, university"
Delft University of Technology,the best years of my life were spent at university highly recommend it,POSITIVE,"recommend, highly, university, spent, life"
Delft University of Technology,not what i expected university could really improve its student services,NEGATIVE,"services, student, improve, really, university"
Delft University of Technology,the best years of my life were spent at university highly recommend it,POSITIVE,"recommend, highly, university, spent, life"
Delft University of Technology,its a good university but i think university has room for improvement,NEUTRAL,"improvement, room, think, university, good"
